[ 2018-04-13T17:54:05+08:00 ] /index.php/Admin/Index/left | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000476s ]
[ 2018-04-13T17:54:05+08:00 ] /index.php/Admin/Index/left | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000513s ]
[ 2018-04-13T17:54:05+08:00 ] /index.php/Admin/Index/left | INFO: Tag[ view_template ] --START--
[ 2018-04-13T17:54:05+08:00 ] /index.php/Admin/Index/left | INFO: Run LocationTemplate Behavior [ RunTime:0.000644s ]
[ 2018-04-13T17:54:05+08:00 ] /index.php/Admin/Index/left | INFO: Tag[ view_template ] --END-- [ RunTime:0.000691s ]
[ 2018-04-13T17:54:05+08:00 ] /index.php/Admin/Index/left | INFO: Tag[ view_parse ] --START--
[ 2018-04-13T17:54:05+08:00 ] /index.php/Admin/Index/left | INFO: Run ParseTemplate Behavior [ RunTime:0.006404s ]
[ 2018-04-13T17:54:05+08:00 ] /index.php/Admin/Index/left | INFO: Tag[ view_parse ] --END-- [ RunTime:0.006449s ]
[ 2018-04-13T17:54:05+08:00 ] /index.php/Admin/Index/left | INFO: Tag[ view_filter ] --START--
[ 2018-04-13T17:54:05+08:00 ] /index.php/Admin/Index/left | INFO: Run ContentReplace Behavior [ RunTime:0.000448s ]
[ 2018-04-13T17:54:05+08:00 ] /index.php/Admin/Index/left | INFO: Run TokenBuild Behavior [ RunTime:0.001442s ]
[ 2018-04-13T17:54:05+08:00 ] /index.php/Admin/Index/left | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000661s ]
[ 2018-04-13T17:54:05+08:00 ] /index.php/Admin/Index/left | INFO: Run ShowRuntime Behavior [ RunTime:0.000448s ]
[ 2018-04-13T17:54:05+08:00 ] /index.php/Admin/Index/left | INFO: Tag[ view_filter ] --END-- [ RunTime:0.003127s ]
[ 2018-04-13T17:54:05+08:00 ] /index.php/Admin/Index/left | INFO: Tag[ view_end ] --START--
[ 2018-04-13T17:54:05+08:00 ] /index.php/Admin/Index/left | INFO: Run ShowPageTrace Behavior [ RunTime:0.000454s ]
[ 2018-04-13T17:54:05+08:00 ] /index.php/Admin/Index/left | INFO: Tag[ view_end ] --END-- [ RunTime:0.000487s ]
[ 2018-04-13T17:54:05+08:00 ] /index.php/Admin/Index/right | INFO: Tag[ route_check ] --START--
[ 2018-04-13T17:54:05+08:00 ] /index.php/Admin/Index/right | INFO: Run CheckRoute Behavior [ RunTime:0.001445s ]
[ 2018-04-13T17:54:05+08:00 ] /index.php/Admin/Index/right | INFO: Tag[ route_check ] --END-- [ RunTime:0.001498s ]
[ 2018-04-13T17:54:05+08:00 ] /index.php/Admin/Index/right | INFO: Tag[ app_begin ] --START--
[ 2018-04-13T17:54:05+08:00 ] /index.php/Admin/Index/right | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000460s ]
[ 2018-04-13T17:54:05+08:00 ] /index.php/Admin/Index/right | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000492s ]
[ 2018-04-13T17:54:05+08:00 ] /index.php/Admin/Index/right | INFO: Tag[ view_template ] --START--
[ 2018-04-13T17:54:05+08:00 ] /index.php/Admin/Index/right | INFO: Run LocationTemplate Behavior [ RunTime:0.000664s ]
[ 2018-04-13T17:54:05+08:00 ] /index.php/Admin/Index/right | INFO: Tag[ view_template ] --END-- [ RunTime:0.000714s ]
[ 2018-04-13T17:54:05+08:00 ] /index.php/Admin/Index/right | INFO: Tag[ view_parse ] --START--
[ 2018-04-13T17:54:05+08:00 ] /index.php/Admin/Index/right | INFO: Run ParseTemplate Behavior [ RunTime:0.008878s ]
[ 2018-04-13T17:54:05+08:00 ] /index.php/Admin/Index/right | INFO: Tag[ view_parse ] --END-- [ RunTime:0.008967s ]
[ 2018-04-13T17:54:05+08:00 ] /index.php/Admin/Index/right | INFO: Tag[ view_filter ] --START--
[ 2018-04-13T17:54:05+08:00 ] /index.php/Admin/Index/right | INFO: Run ContentReplace Behavior [ RunTime:0.001983s ]
[ 2018-04-13T17:54:05+08:00 ] /index.php/Admin/Index/right | INFO: Run TokenBuild Behavior [ RunTime:0.000493s ]
[ 2018-04-13T17:54:05+08:00 ] /index.php/Admin/Index/right | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000470s ]
[ 2018-04-13T17:54:05+08:00 ] /index.php/Admin/Index/right | INFO: Run ShowRuntime Behavior [ RunTime:0.000491s ]
[ 2018-04-13T17:54:05+08:00 ] /index.php/Admin/Index/right | INFO: Tag[ view_filter ] --END-- [ RunTime:0.003574s ]
[ 2018-04-13T17:54:05+08:00 ] /index.php/Admin/Index/right | INFO: Tag[ view_end ] --START--
